arrow,x0,y0,x1,y1
1650,838.9983819,798.7055952,901.1481433,791.0635089
1680,846.1706122,795.9297446,892.4966587,793.7087347
1710,838.9878938,796.532489,907.2804213,777.5011001
1740,839.6410808,797.7080862,903.5942958,770.0325911
1770,837.2251497,791.3499301,905.5225285,776.928611
1800,832.8926098,796.6311414,907.7069462,773.1864789
1830,830.1662791,796.4463866,905.3926977,779.1513037
1860,830.2474627,798.2201071,897.9338865,782.152525
1890,823.988721,797.5628665,899.6103393,776.0625321
1920,831.6024893,799.480452,877.5973351,796.8383666
1950,843.8582681,795.6355709,898.187306,790.8880422
1980,847.8911562,801.5288228,903.3404967,791.6668043
2010,852.3896979,805.0694325,920.8681256,754.0722862
2040,862.4152646,802.3841192,911.1133653,766.3710178
2070,854.3113254,798.1707961,905.1000582,768.8016537
2100,844.1946106,797.2641566,898.0397219,778.6374657
2130,825.6191744,799.9707175,896.5891064,774.0387285
2160,838.7995768,799.7721308,902.1648865,776.5183596
2190,843.4255662,801.366898,900.8599416,772.0792837
2220,827.0489943,799.0117086,895.9829859,779.9667479
2250,837.815599,802.5281428,898.4176097,781.4301263
2280,858.6125105,803.1493742,894.6818854,781.8624165
2310,837.8650683,797.0796334,879.1891628,796.4563327
2340,860.812011,801.6915576,892.5673238,794.1695847
2370,844.1125744,800.7160257,892.8225639,791.0757322
2400,846.2187878,801.2095351,894.509878,792.6051522
2430,840.4040151,797.7636808,893.43446,793.9237812
2460,836.6872078,801.630822,891.2691221,796.4026059
2490,867.7157839,799.5981296,910.3117678,757.5577741
2520,837.1906364,800.6334322,916.2833935,770.163366
2550,835.607475,796.774317,916.4559362,770.745847
2580,853.7062184,797.2272353,892.0809919,773.3880539
2610,852.4063278,802.4324779,925.4582712,764.1703849
2640,842.7536032,798.0775474,924.7915455,762.3502543
2670,847.1624832,801.8395146,912.950755,775.6652427
2700,829.3450878,798.4853041,916.170475,770.2580972
2730,853.0940738,800.2723835,916.6036752,766.3661904
2760,842.5277422,803.7085604,926.1877539,755.5359132
2790,843.9080578,793.9934888,922.4407075,774.2616009
2820,847.8115421,800.5463978,929.5151932,758.8360277
2850,853.6827524,805.9986271,926.8932897,764.80134
2880,864.5573533,805.9682047,922.5018969,763.4324835
2910,845.7755792,799.5691575,923.3665625,756.3169082
2940,839.9776032,800.4970142,927.0349382,750.5967422
2970,846.0375006,793.3853679,931.8202056,760.8845962
3000,856.916247,808.0864896,938.6010389,806.4803439
3030,850.7217589,807.9855702,938.0052206,773.0591886
3060,849.1778865,804.2422791,924.3295858,766.3570942
3090,841.8468377,799.4859513,918.9465275,762.1109056
3120,864.3347678,811.9964847,922.7691155,758.620208
3150,848.16046,792.7594692,922.1943986,758.545587
3180,834.5229567,802.4172029,920.4015867,762.1903232
3210,843.4606454,798.1240227,921.7455228,759.7756635
3240,857.5942244,807.8536579,921.6426833,752.9266988
3270,847.733661,813.9720417,924.6890321,755.3445964
3300,841.2036583,798.9119429,923.2165697,765.4426823
3330,861.6746154,805.1529361,923.7978079,763.1561657
3360,867.6792567,813.283642,922.8310565,761.6748023
3390,881.5765631,827.8028001,919.2412115,759.5032649
3420,882.1820022,824.7268042,915.3019947,745.4865395
3450,874.2910806,829.7361892,918.467043,754.6759342
3480,876.2991133,814.7055073,919.7398613,733.2580164
3510,869.5476398,827.4368788,923.5639343,756.830338
3540,883.1687768,817.5352373,915.9502207,733.6382651
3570,881.0124514,822.0098382,915.5710919,740.897725
3600,882.4025125,822.2267912,918.6148665,755.9739354
3630,871.677415,811.3671717,920.3688428,760.0138202
3660,870.1280011,821.718798,921.5682978,739.671274
3690,841.9850493,800.2678297,925.0444052,765.6723393
3720,868.8524501,814.4437412,917.7792695,754.5565964
3750,856.0918929,809.5402073,919.2141418,747.5458982
3780,848.9354275,800.1343875,927.3620954,771.7763499
3810,872.2565306,815.813546,915.8925852,747.4921439
3840,843.1048441,807.4672103,926.5663224,752.2709297
3870,875.6133118,818.6242899,917.6680485,746.3605266
3900,866.8431726,820.7978602,922.1781474,746.1081788
3930,871.8757036,819.076989,921.3457415,750.3412507
3960,846.7306885,806.400891,919.4063916,763.9277549
3990,876.833755,814.2449908,917.9106015,742.3591868
4020,859.6540402,817.1210523,916.1990226,740.4937371
4050,850.6069071,807.0715492,919.7360439,752.681626
4080,869.3965462,807.6015354,920.0043582,756.2483756
4110,855.6611066,812.1264812,975.4308091,817.785726
4140,860.9989555,813.2500412,970.6107937,787.9295261
4170,846.901179,804.4835826,924.8687287,765.1461406
4200,877.0782699,819.3310835,919.1432484,748.1058196
4230,856.4728563,813.9616066,908.0122483,752.738963
4260,867.0905098,805.0143759,915.3863557,752.5585685
4290,865.5689015,806.9075101,919.1738921,761.5206698
4320,877.5660162,814.7342803,916.4085391,755.7331455
4350,872.4017766,797.3835871,899.9742284,724.3092715
4380,845.7605862,798.7040717,920.2507081,740.0235779
4410,877.9478853,819.9743564,920.4968465,754.9399254
4440,869.1638281,808.5256935,907.1576612,763.1454911
4470,875.8382206,813.2327784,908.4107185,760.4485237
4500,856.5441623,815.1298292,920.0400153,756.7031962
4530,855.0987888,805.4593461,929.8657211,765.8459556
4560,856.6335327,806.3099784,922.1590475,747.5316161
4590,855.043981,805.0277198,920.2372153,765.6081002
4620,862.4299001,815.9886126,929.3049044,770.3278177
4650,865.2690518,806.6895522,919.1157726,741.0486382
4680,866.0832668,816.4170042,919.1778665,748.8319381
4710,863.6000616,811.8373149,922.6362249,754.9089086
4740,851.7386817,806.6612025,923.829373,765.2625779
4770,867.7422418,809.0927579,956.654869,802.0492093
4800,869.6848944,806.9963072,997.6890379,823.7805092
4830,869.0289468,814.7875664,1002.274518,817.9475379
4860,864.3155464,812.9400724,1000.700701,841.2446052
4890,874.5662116,816.4082445,1020.539358,822.3253615
4920,858.4077496,817.7407332,1035.171539,813.1298315
4950,860.236022,813.420876,1050.796387,820.5242223
4980,869.3186092,812.7495754,1053.097471,850.4896192
5010,862.5444376,805.2696085,1059.968631,834.4428866
5040,864.8477403,806.9327977,1072.011583,802.9620638
5070,848.4345407,805.0000419,1097.820147,797.9534286
5100,871.3364628,820.0277841,1097.096438,779.979282
5130,860.8253915,817.7834716,1139.711307,793.5614049
5160,855.3068492,809.9432967,1102.658501,765.1911535
5190,848.2116093,804.3830526,1093.437132,733.9540617
5220,872.2745634,819.8038883,1073.178986,696.4666529
5250,880.5299399,821.9044616,1030.714861,767.5388001
5280,882.9052972,825.3263448,1012.26813,791.6021089
5310,880.1048626,825.8350011,1020.001391,810.868215
5340,876.3162918,821.6057118,1011.762302,810.4594249
5370,874.3525793,815.3854445,1000.360959,809.0058162
5400,870.3147607,811.3514859,1007.242235,824.8711817
5430,870.5642799,810.5065999,1014.754853,844.3203162
5460,867.921172,806.9080745,1001.395931,832.2004429
5490,872.3536212,806.7400259,1001.385337,831.771045
5520,853.5758753,808.8386426,995.0541277,832.7203258
5550,848.6708783,813.0477114,983.602296,820.2209523
5580,863.2489013,816.5031333,978.80707,845.2032269
5610,863.0867588,812.0057641,1008.451234,896.8461702
5640,873.8496161,816.335431,951.4966172,839.9045195
5670,861.6866771,812.4869354,934.9564177,834.9515684
5700,859.1548448,805.8934547,925.2476759,847.3922071
5730,865.8986637,807.5997294,904.3603145,838.2066018
5760,867.7889577,817.092463,889.8098742,835.6113469
5790,867.6664176,811.2513267,873.6526936,840.0760154
5820,867.180766,818.838419,839.8862983,839.0416031
5850,852.8199994,809.5535125,834.4948196,826.5697064
5880,851.7372122,811.1896096,835.9018759,827.9526397
5910,857.782482,811.4489626,824.2579274,818.0965365
5940,863.8546101,809.1564431,823.4529308,801.3060589
5970,869.315732,816.8291373,776.6936018,811.724329
6000,869.9857673,817.2083548,746.9645755,820.9110597
6030,851.4537081,809.5250037,727.4948718,830.6364055
6060,858.845667,810.9606465,776.3555552,859.244535
6090,857.0754078,805.671855,849.8139595,885.5164971
6120,865.1965175,798.8182537,913.747979,859.5111545
6150,860.3973771,799.1732986,953.8871333,876.3848172
6180,851.2481485,799.8767276,995.6903287,876.751918
6210,850.7557881,801.0807484,1075.997673,858.3991431
6240,852.3935648,804.0784867,1104.735499,872.8765693
6270,858.5075501,805.2261291,1130.532607,888.1808815
