scorer,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000
bodyparts,f1,f1,f1,f2,f2,f2,f3,f3,f3,m1,m1,m1,m2,m2,m2,m3,m3,m3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
62,139.5018616,100.6087952,1,135.6421051,95.6649704,1,109.7352753,75.55556488,1,100.7631378,76.1829834,1,94.56098175,74.74801636,1,64.95118713,58.23787689,1
63,139.0249786,98.52555847,1,135.6009827,93.86366272,1,109.1152344,75.2175827,1,100.4013367,76.18167877,1,93.89840698,74.74801636,1,64.89328003,57.82977676,1
64,139.5018616,98.52555847,1,135.6421051,93.82907867,1,109.1152344,74.76770782,1,100.4013367,75.68732452,1,93.89840698,74.51551056,1,64.63985443,57.81628036,1
65,141.3766632,98.52555847,1,137.3003082,93.82907867,1,109.7352753,74.76770782,1,100.7631378,75.50301361,1,94.29620361,74.07426453,1,64.51893616,57.81628036,1
66,141.3766632,98.87698364,1,138.6183929,93.86366272,1,109.7431183,74.70402527,1,100.9930649,75.3000412,1,94.29620361,73.96677399,1,64.46455383,57.82977676,1
67,143.0373993,102.6157608,1,139.144104,96.5342865,1,109.7936172,73.74744415,1,101.3194122,74.48756409,1,94.29620361,73.27540588,1,64.38765717,58.0352211,1
68,143.0373993,105.6789627,1,139.5002289,99.95189667,1,110.7239075,73.44852448,1,102.3055267,73.59927368,1,94.34744263,72.0402832,1,64.33364868,58.0352211,1
69,143.1630249,105.6789627,1,139.684082,99.95189667,1,110.9394989,73.44852448,1,102.3064728,73.43874359,1,94.3657074,71.57499695,1,64.2075119,58.0352211,1
70,143.2923279,105.6789627,1,139.7085114,99.95189667,1,110.9572983,73.74744415,1,102.395752,73.43874359,1,94.68291473,71.57499695,1,63.96435928,58.0352211,1
71,147.3239746,105.5378494,1,144.2381744,99.62369537,1,111.5250092,73.91723633,1,102.7642441,73.43874359,1,94.93077087,71.57499695,1,63.96435928,58.0352211,1
72,148.1224823,105.3413391,1,144.2381744,98.88119507,1,111.5250092,75.38485718,1,102.7713318,74.20449829,1,94.95849609,72.03909302,1,63.88985825,58.79172134,1
73,148.1224823,105.093277,1,144.2381744,98.88119507,1,111.6397858,75.55261993,1,102.9220352,74.44724274,1,95.01371765,72.30760956,1,63.88985825,58.79172134,1
74,148.1224823,105.093277,1,144.0127258,98.88119507,1,111.5281754,76.40262604,1,102.7713318,74.82336426,1,95.01371765,72.62453461,1,63.88985825,58.79172134,1
75,147.5108643,105.093277,1,142.9919586,100.7177658,1,111.5250092,77.12432098,1,102.7713318,75.3586731,1,94.95849609,73.05277252,1,63.85831451,58.67015839,1
76,145.4560089,108.1639099,1,141.4778442,102.9115219,1,111.5140152,77.6216507,1,102.6792297,76.02477264,1,94.95849609,73.68372345,1,63.85831451,58.67015839,1
77,143.9187775,108.1639099,1,140.8342285,102.9115219,1,111.45578,77.65911865,1,102.2745895,76.44494629,1,94.89978027,74.14092255,1,63.85831451,58.52704239,1
78,143.8276672,108.1639099,1,140.4297791,102.9115219,1,110.8757324,77.67057037,1,102.1633148,77.25575256,1,94.8530426,74.96083832,1,64.05680847,58.46099472,1
79,142.9104462,106.628418,1,139.2485046,101.873642,1,110.1433792,77.84159088,1,101.8861008,77.46672058,1,94.72585297,75.31925201,1,64.06874847,58.52704239,1
80,142.9104462,106.628418,1,139.2485046,101.873642,1,110.1433792,78.06829071,1,101.8861008,77.78533173,1,94.8530426,76.51554871,1,64.23989868,58.78555679,1
81,142.6920013,106.628418,1,139.2485046,101.873642,1,110.1433792,78.1842804,1,101.8861008,78.76988983,1,94.8530426,77.3159256,1,65.11113739,59.52294159,1
82,142.6920013,107.3894958,1,139.80159,102.5245514,1,110.9872437,78.79968262,1,102.1041718,78.76988983,1,94.69718933,77.71702576,1,65.11113739,59.52294159,1
83,143.4346466,109.3067551,1,141.0533447,103.056488,1,111.1449814,78.65252686,1,102.4537201,78.74303436,1,94.94393921,77.73538971,1,65.11113739,59.52294159,1
84,147.5959015,109.3067551,1,143.293457,103.056488,1,111.4465637,78.79968262,1,102.4537201,78.74303436,1,95.26329041,77.73538971,1,65.62619019,60.1332283,1
85,148.2486115,107.3894958,1,144.4949341,102.9291077,1,111.9529953,78.92253113,1,102.1041718,79.07696533,1,95.26329041,77.94910431,1,65.62619019,60.1332283,1
86,152.139389,107.3564224,1,147.8263855,102.5245514,1,112.7880936,79.4017334,1,102.1041718,79.53774261,1,96.08643341,78.72745514,1,67.11909485,60.73553848,1
87,152.2633362,106.148941,1,148.3712463,100.0869751,1,112.9508514,80.37774658,1,102.4537201,80.52394867,1,96.11177063,79.52374268,1,67.193367,60.88793945,1
88,152.6373138,105.8208923,1,148.4904938,100.0569992,1,112.9508514,80.37774658,1,103.4033661,80.52394867,1,96.11177063,79.52374268,1,67.193367,60.94647217,1
